Mc,eta,chi1z,chi2z,DL,e0
8.505068465230043728e-02,6.929193254697758597e-01,6.664312160569702215e+00,1.040894548833571207e+02,2.728865799981246454e+00,1.824267957163741294e-01
3.222334419313894749e-01,9.597586785438360080e-01,1.397821667637769494e+01,3.166499364644665775e+02,2.784525118720727388e+00,4.794817523266551307e-01
7.194745879775711339e-01,4.239626903511097389e+00,5.339871818317964625e+01,2.231634557742618767e+02,2.503326300701134599e+00,1.010564152525496473e+00
4.410358909226985702e-01,3.482555550279387457e+00,9.548206775464849727e+01,5.684664188839999497e+02,8.698869742507367775e+00,3.934619844573128411e-01
4.159099842430975108e-02,1.013715416402947711e-01,9.664151130157023761e-01,5.482755517748783802e+01,3.185744385817525615e+00,1.505763647273980835e-02
1.134833693704521973e-01,2.643785374387195297e+00,1.047849353644112966e+02,1.714467946849094346e+02,1.269449965781247025e+00,6.379285572170147189e-02
2.877512499086975670e-04,1.855595812287234511e-02,5.464746210633445456e-01,7.590577821171031747e-01,3.731120111814935358e-02,2.759466576005543091e-04
4.252205872369514694e-02,5.657092542507925481e-01,8.798307864192335126e-01,1.212417711859005642e+01,3.843504299000573554e-01,1.281416350462619147e-01
1.877614224354713590e+00,1.064285561196494179e+01,1.280636278525913440e+03,1.072822699447707237e+03,3.852593050549606435e+00,1.409298496336932383e+00
6.882695907980236442e-03,9.259233913669315252e-02,1.504658286948291845e+00,4.381124203800991879e+00,9.090261645406019220e-01,1.412429712404161299e-02
1.454558828972762619e-01,1.366223792609845944e+00,3.422445237290239106e+01,1.980338861218731381e+02,4.770239498359655217e-01,1.551332502079646736e-01
9.407964927803981470e-02,5.988413436347466146e-01,1.492169203510178654e+01,4.495599350576485165e+01,1.994630325677790306e-01,1.276606050620248678e-01
7.109757058107915584e-02,3.229036536901593313e-01,3.885352318640659330e+00,3.478784341670923208e+00,1.565158661520330841e-01,2.375945788948547951e-02
9.712282179361043932e-02,2.257481010793772391e+00,4.334574869289257890e+02,4.303655657259095619e+02,1.232945442306188522e+00,1.524357116760702846e-01
4.173387074701953581e-01,2.371506729342574005e+00,3.510058508024931712e+02,4.877113602317596701e+02,1.662711014537469723e+00,6.772429853085870644e-01
1.334685116421323314e-01,4.491402568726031497e+00,2.666815405406824269e+01,1.485392530316686255e+01,1.000905108369381624e+00,2.760773477849985391e-01
2.119988160664979804e-01,2.451726140261785147e+00,2.052097232403123073e+01,1.503048334184173918e+01,4.007838088461532777e-01,1.477161158183355194e-01
1.173848941166879323e+00,1.803800096922298124e+01,3.980941391720526212e+02,1.868735512615983225e+03,1.091233196393652571e+00,6.425391763771418630e-01
2.878679055293174915e+00,2.856184572020794832e+01,4.461707243599392996e+02,6.695777823766240999e+02,2.829504191378370059e+00,1.858609398925022305e+00
3.294347816458638722e-01,1.082389988033279682e+00,4.014451911082055346e+01,4.523538235782252741e+02,2.226270457725957552e+00,4.248163276325180315e-01
4.481093902054933409e-02,6.800830707557713461e-01,1.071960051851674223e+01,3.820503706419474810e+01,4.453448798517115059e-01,3.033496956257949323e-02
2.911494790450652737e-02,8.867712121625265231e-01,2.934775905612080127e+00,2.307301139183577376e+01,3.639024885949557309e+00,6.972691697663044308e-02
9.298987043567311095e-03,2.938447682109593950e-01,4.230268212561565377e-01,5.729322878539387709e+00,1.504595561739168197e-01,7.349359096970857312e-03
4.006081358506613163e-03,1.811193586248187604e-01,5.244033091495169607e+00,6.478394025537704159e+00,1.854527555054207022e-01,4.981055878254908760e-03
2.922372397649462550e-01,1.576731217276963193e+01,5.653702192865811185e+02,6.814185172649382594e+02,1.292713658418056077e+00,5.103261862059036424e-01
3.507524717162110311e-02,2.059301706208734206e+00,1.195159489778940021e+01,1.210689089368010052e+01,1.410007958129644079e+00,1.299050635133832399e-01
3.145161079478695637e-02,5.897384630382053183e-01,1.096391890147537218e+01,4.525944441798061035e+01,2.683771785164821844e-01,2.353432380194126275e-02
2.952304659234866735e-02,1.993537870043553539e+00,4.110969291347942800e+01,7.840331900207443994e+01,1.548980325571001515e+00,1.918500787180511813e-01
3.423489237858133860e-01,3.582682891849964940e-02,9.635222718113883644e+00,8.962847230234760900e+02,3.296192827236587686e+00,3.053194448227767310e-01
1.049651939721479160e-02,5.384936147060357392e-01,4.891705923503783282e+01,4.828184436306065663e+01,6.137225127015443621e-02,3.745452880682045155e-02
2.062594072796308797e-01,1.533779776444273157e-01,6.830643350033965611e+00,3.807648244030601745e+02,4.928470504939147290e+00,4.137766011411161959e-01
4.561029971883509559e-01,8.988023869678966049e-01,2.450775006472538564e+01,1.851223372950296095e+02,2.778930960973248876e+00,1.024497677804833584e+00
9.084645746223283386e-03,1.004641274353970770e+00,1.635486410897753018e+01,2.588740585842802489e+01,2.337403514786796421e+00,1.251992519276848813e-02
1.136163808222008936e-01,2.722234633308598273e+00,3.461821714931699745e+01,1.327952268485461786e+02,1.332979388840286772e+00,4.972215865410202773e-01
2.233258269831676652e-03,6.219703346192762689e-02,4.795025377840495651e+00,5.802957540425024874e+00,1.362569161256288186e-01,1.799333532495007906e-03
3.292204068337226813e-02,2.236675955717427389e+00,9.690662533374248255e+01,9.975045267066805366e+01,1.507324606720962912e+00,4.289783912716846337e-02
5.787344457912563245e-02,1.415289678107603200e+00,1.139925013044632607e+01,4.106143160363353672e+01,7.118706057403916265e-01,3.370377018388209800e-02
4.551286548434630569e-02,1.555524371104338943e+00,2.236903779414767612e+01,3.952841775865478979e+01,1.084510107643716692e+00,3.435342863754815151e-02
9.138128063402296136e-03,3.419936051583791214e-01,2.527734185610289952e+00,8.803782975855968473e+00,2.209678282481830902e-01,6.185827791319850437e-03
1.435005153494726265e-02,2.483791383892722596e-02,2.069024630869995829e-01,1.395302761246598067e+01,2.340583507316797429e-01,8.340860786764060439e-03
1.203525498228550372e+00,3.892848114903149082e+00,7.888866060976775998e+02,1.061678919601948564e+03,2.748144676010928933e+00,5.941092139678776363e-01
5.193497578702349626e-02,3.488315886619005379e+00,5.458942354031793798e+01,3.661472860255268813e+01,3.140482168822205544e+00,1.307029395648001691e-01
9.405079214945065713e-01,6.934990810205001743e-01,2.438130359271057301e+01,8.061238727154707249e+02,1.511238486519869362e+00,1.259776619890823124e+00
1.430441729006351748e-01,1.078266692196982179e-01,2.073290396810377079e+00,1.608277502830969468e+02,4.343049987372323173e+00,7.166284779270645777e-02
7.560054469346944028e-02,1.796514971352062839e-01,5.523339036913982980e+00,9.711953066585867589e+01,3.677301112415422235e+00,1.634098650045297807e-01
1.238412687538006374e-01,2.212908582038336291e+00,2.279294977418785706e+01,6.061584759173710779e+01,9.700922440551486003e-01,1.185533173414514974e-01
2.177924735683646196e-01,2.380418327395514844e+00,3.027397227705821425e+00,7.981708828039916170e+01,1.110015411546649178e+00,1.046584965406204132e-01
5.391681824793008795e-03,6.128323134627691182e-01,3.904916703961224584e+02,4.134386638985868103e+02,3.236719393272825762e+00,7.772007589634998860e-03
2.411713777681390516e-02,2.445197280469721512e+00,3.444788469551796339e+01,5.218985134616109889e+01,3.667843995271710344e+00,2.495863149593381680e-02
4.137787606670739748e-02,1.108189128636107856e+00,8.974205673954031681e+00,5.044312559289053155e+01,2.923029657760522149e+00,2.422715770637382665e-02
1.930907760011790764e-02,3.432028883297873478e-01,2.015961039978458658e+00,2.278038774664995358e+01,1.572533609604458205e+00,1.319283970448143981e-02
1.941385187597072681e+00,9.455192985779444115e+00,1.059807684380684236e+02,7.124423662524665133e+02,4.374174554149202088e+00,2.837618976914732194e+00
2.013201498825212543e-01,1.465022900829278107e+00,7.478001030441672192e+00,6.779673244571597479e+01,3.001873767231037604e+00,1.230125341413454559e-01
3.189175634806763748e-02,9.462730790784219526e-01,2.027156237823842133e+01,3.935993299976026805e+01,7.254869830039040179e-01,1.303902773476909305e-01
8.783093588691089082e-02,3.390151153056432110e-01,4.879583795758275500e+00,6.131963361653262012e+01,1.515603374469893572e+00,2.578638373147744065e-02
1.212359959020713612e-01,2.078067065069577890e-01,6.439304356429164322e+00,9.994421688642928814e+01,8.059010968911961559e-01,3.247220776620343696e-02
1.431289526551288334e-02,3.080292871578850233e-01,1.100637485374819757e+00,1.984793530360166258e+00,3.725297010343951998e-01,8.002628210053028268e-03
9.416528494606776212e-01,1.447321926564842798e+01,2.429513896352363531e+02,5.753806614572272338e+02,3.146746135129847577e+00,9.258541356835777725e-01
7.683304427553019900e-02,6.786279272331599000e-01,6.080196500599555520e+00,9.750224619520587055e+01,1.887186927338185605e+00,3.012757159473310187e-02
4.836560370454149327e-01,7.075827365456759388e+00,9.858033863561234966e+01,1.412781770144698612e+02,1.600798053320480419e+00,2.404491464403424872e-01
4.197530077925816505e-02,1.041367033327306624e+00,2.081933011152591995e+00,3.394078961462455624e+01,7.595978854277566361e-01,1.012406300179390234e-01
4.269474798764485990e-01,2.162628782514433023e+00,4.188927668618718059e+01,2.054105094756672543e+02,3.510569578487880094e+00,1.298136962694421026e+00
3.686523867465042216e-03,4.383897473712855715e-03,2.124190318124491994e-01,3.828193534388152575e+00,1.845995137569966527e-01,3.814579735703137534e-03
1.119301175173712144e-02,1.242949521688766490e+00,4.925168631664965346e+02,5.373116558570114876e+02,4.104509703390174735e+00,1.446356517849431943e-02
1.842154682095284990e-01,4.349383567247643023e-02,5.864792712443723133e+00,2.984319557734671662e+02,3.490119632154278673e+00,2.795773176185203587e-02
1.490831257253842634e-02,3.176415651192449063e-01,2.747327336723481395e+01,3.636075792372626125e+01,8.192900113664256523e-01,7.364466911075894483e-03
5.178237354337643372e-02,1.635306019606613814e+00,1.055530045628730385e+01,1.119605338041941067e+01,1.527066631068748181e+00,6.374978421289591302e-02
4.174168530585375403e-01,4.896055921752398454e+00,1.088347826107107892e+02,7.637164962923638711e+01,1.237096936178401441e+00,2.018579349717801175e-01
1.340083341145608710e-02,1.327165795535093784e-01,1.851781135884262186e+00,3.245001386075082817e+00,4.648986748224250704e-02,9.064841935025418768e-03
1.264236707383067648e-01,1.439189297029718873e+00,3.723567941511846158e+01,2.884530902390524716e+02,7.259953638255244313e-01,7.213472584624348871e-02
1.408125362955126719e-02,4.808952336757648660e-01,9.059506262850137048e+00,2.446437706552574198e+01,3.268079630169440919e-01,1.130573663158891684e-02
1.631317795873843679e-01,3.626033194480022370e+00,3.235864092074743326e+01,1.132920539441374927e+02,1.941955054242696432e+00,8.779539212759306099e-02
7.760374476111596420e-02,1.005970023418806258e+00,3.653316985175760756e+00,2.958209743187212126e+01,1.868909998793724325e+00,1.042187261730961739e-01
7.556683975020773991e-03,2.126852861552657736e-01,2.807712722494815072e+00,7.434151236148326625e+00,6.748989560404701216e-01,1.446273173674392232e-02
1.407353710928945303e-02,6.229757641667039714e-01,1.799256458400559211e+01,1.908050202624873748e+01,1.615420057658107089e-01,1.161416277956458035e-02
1.259359304174401811e-02,9.597974166431598730e-01,2.943024672811711184e+01,3.840061081626765116e+01,8.585619866211676721e-01,7.202295150291398995e-02
